"부산광역시","체인화 편의점",2367,10594,1268086,1217224,94274,41438,1081512,73907,2324,10380,1212434,1122375,831291,99031,48732,143322,96453
"부산광역시","문구용품 및 회화용품 소매업",72,197,29593,27643,2425,1570,23648,2185,80,208,29553,26401,19930,2413,1609,2448,2259
"부산광역시","의약품 및 의료용품 소매업",177,648,210012,191980,15952,4674,171354,13843,205,724,249761,239575,202409,17947,4939,14280,14734
"부산광역시","안경 및 렌즈 소매업",214,674,80157,70577,12954,10241,47382,11586,208,662,75888,67760,36354,13591,10430,7384,12534
"부산광역시","한식 음식점업",1861,8508,553567,501004,97020,49524,354460,91638,1957,8515,564575,493432,267431,99563,54348,72090,97613
"부산광역시","외국식 음식점업",557,2997,184698,162998,39315,17342,106341,37239,522,2727,190278,170303,87053,43802,18061,21388,42542
"부산광역시","제과점업",446,2234,170045,159878,20895,13425,125558,19383,435,2141,152539,135906,87994,20883,14436,12592,20676
"부산광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",731,3846,210747,191516,36926,16019,138571,34519,746,4052,220692,199940,104973,39285,17261,38420,37757
"부산광역시","치킨전문점",1791,4476,268696,230675,19322,16146,195207,18384,1891,4665,325048,267455,173449,24019,22530,47457,23333
"부산광역시","김밥, 기타 간이음식점 및 포장 판매점",794,2889,140136,124742,21599,13707,89436,20408,812,2758,156776,133123,71515,26062,18616,16931,25114
"부산광역시","생맥주 및 기타 주점업",626,2003,121828,110893,21253,13108,76532,15938,553,1641,103129,85561,45864,15113,11411,13173,14615
"부산광역시","커피 및 기타 비알코올 음료점업",1265,5828,252893,224743,49681,34413,140649,47572,1392,6313,278103,242904,104794,63017,37626,37467,59698
"부산광역시","자동차 전문 수리업",371,1452,167714,148610,37446,5255,105909,30737,378,1495,164931,142280,72749,38009,8385,23137,36618
"부산광역시","두발 미용업",216,1349,56595,50480,15826,6941,27713,13151,224,1340,63328,54347,12303,14025,9142,18876,12766
"부산광역시","가정용 세탁업",340,685,35424,29465,4839,2719,21907,4154,362,719,44182,35433,12578,5433,4428,12993,4723
"부산광역시","기타 프랜차이즈",1429,4695,352575,311323,43932,33792,233599,39570,1469,4688,419986,410502,250766,74930,34863,49943,72061
"대구광역시","합계",9311,34803,2648614,2392253,338592,174691,1878970,309916,9456,34440,2783647,2455017,1539917,369659,201976,343465,357339
"대구광역시","체인화 편의점",1436,6028,662803,639139,44148,20563,574428,38527,1450,6000,685132,647654,481947,46081,29312,90314,44960
"대구광역시","문구용품 및 회화용품 소매업",27,68,10504,9367,738,488,8141,638,28,66,11422,10887,8585,846,575,881,789
"대구광역시","의약품 및 의료용품 소매업",172,518,152888,136897,9773,3983,123141,8683,179,568,139286,131158,105023,11177,5850,9108,10113
"대구광역시","안경 및 렌즈 소매업",163,481,54596,47150,8799,6760,31591,7761,153,469,55120,47309,28638,8213,5865,4593,7822
"대구광역시","한식 음식점업",1360,5834,393375,352184,68277,35304,248603,65182,1431,5765,411673,356003,187731,75330,39849,53091,73944
"대구광역시","외국식 음식점업",353,1924,111536,98476,24461,9729,64286,22718,319,1600,106188,93168,45707,25070,9575,12816,24312
"대구광역시","제과점업",362,1683,129638,120655,14502,9265,96888,13589,350,1589,121704,104103,62032,19880,9835,12357,19609
"대구광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",498,2738,149804,136971,26741,9365,100865,24683,512,2830,165214,146247,80835,30138,11323,23951,28995
"대구광역시","치킨전문점",1239,2936,175798,146191,11044,10290,124857,10187,1279,2838,217461,178672,119353,10458,12758,36104,10171
"대구광역시","김밥, 기타 간이음식점 및 포장 판매점",731,2362,111019,96721,16446,10741,69534,15500,749,2462,144169,117923,67267,19517,13612,17528,19233
"대구광역시","생맥주 및 기타 주점업",455,1254,74852,63365,9590,7574,46201,8939,408,1037,61072,47439,26413,8439,7365,5221,7942
"대구광역시","커피 및 기타 비알코올 음료점업",779,3672,176880,148503,34325,20655,93523,32551,833,3949,209488,177410,83452,43385,21849,28723,41511
"대구광역시","자동차 전문 수리업",386,1309,147161,129359,32200,4275,92884,25915,380,1374,153063,134872,79310,30859,6944,17758,29365
"대구광역시","두발 미용업",104,350,12659,10775,3459,1755,5561,2943,75,259,10710,9027,2032,2588,1729,2678,2469
"대구광역시","가정용 세탁업",189,343,16162,13068,2443,1681,8944,2259,202,396,22664,17645,8527,2950,2179,3988,2754
